time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522222930.5,16186.4,2632,6,1528,3569623,455,149819,125199645,39079,0,670,228878
1522222931.6,16044.5,1884,42,913,3571338,455,149821,125199648,39079,0,670,228880
1522222932.7,16128.4,2119,21,954,3573161,455,149822,125199648,39079,0,670,228883
1522222933.9,16048.7,2004,64,968,3574960,455,149823,125199654,39079,0,670,228885
1522222935.0,16302.2,2180,39,1028,3576751,455,149825,125199654,39079,0,670,228887
1522222936.1,16042.6,2387,12,1073,3578402,455,149833,125199654,39079,0,670,228890
1522222937.1,16023.6,699737,886,16437,3579767,455,149971,125199767,39079,0,670,228895
1522222938.1,16020.7,3005744,1335,32936,3580618,455,150265,125200200,39079,0,670,228907
1522222939.2,16018.4,3366363,371,15738,3581379,455,150563,125200687,39079,0,670,228924
1522222940.2,16024.1,1057167,198,25515,3581867,455,150693,125201673,39079,0,670,228925
1522222941.2,16022.8,85463,45,31884,3582301,455,150747,125202764,39079,0,670,228926
1522222942.3,16026.4,103528,17,48556,3583016,455,150814,125203538,39079,0,670,228936
1522222943.3,16022.4,84712,22,31684,3583458,455,150861,125204577,39079,0,670,228957
1522222944.3,16027.3,23035,15,10778,3583633,455,150932,125205965,39079,0,670,228958
1522222945.3,16034.8,169,3,223,3583653,455,151018,125207505,39079,0,670,228958
1522222946.4,16045.4,6038,1365,253691,3584319,455,151107,125208461,39079,0,670,228959
1522222947.6,16193.2,209,7,203,3586039,455,151167,125208461,39079,0,670,228964
1522222948.8,16366.6,889,73,4651,3587870,455,151214,125208461,39079,0,670,228965
1522222950.0,16109.9,2273,14,1446,3589754,455,151216,125208461,39079,0,670,228967
1522222951.1,16449.0,2111,13,1086,3591582,455,151218,125208462,39079,0,670,228969
1522222952.3,16240.8,2230,12,1014,3593391,455,151220,125208462,39079,0,670,228971
1522222953.4,16433.6,2292,11,1139,3595213,455,151221,125208464,39079,0,670,228974
1522222954.7,16190.1,2445,12,1139,3597137,455,151222,125208464,39079,0,670,228975
1522222955.8,16238.0,2270,5,1029,3598974,455,151224,125208464,39079,0,670,228978
1522222957.0,16064.5,2741,8,983,3600808,455,151230,125208464,39079,0,670,228980
1522222958.2,16209.5,2168,26,1252,3602647,455,151233,125208464,39079,0,670,228984
1522222959.3,16274.4,2164,19,1094,3604438,455,151235,125208468,39079,0,670,228987
1522222960.4,16024.3,2043,52,1016,3606126,455,151237,125208470,39079,0,670,228988
1522222961.6,16193.8,2439,13,1256,3607969,455,151239,125208470,39079,0,670,228990
1522222962.8,16353.0,3052,7,1571,3609870,455,151244,125208470,39079,0,670,228992
1522222964.0,16128.5,2120,21,990,3611697,455,151249,125208470,39079,0,670,228994
